Data;Czas;Kierunek;Przewoznik;Rejs;Status;;Lotnisko wylotowe
2025-04-24;05:45;WARSZAWA;PLL LOT;LO3804;0;;"RZE"
2025-04-24;06:00;MONACHIUM;LUFTHANSA;LH1607;0;;"RZE"
2025-04-24;08:50;WARSZAWA;PLL LOT;LO3806;0;;"RZE"
2025-04-24;09:10;RODOS;BUZZ;RR3061;0;;"RZE"
2025-04-24;09:15;MEDIOLAN;RYANAIR;FR1102;0;;"RZE"
2025-04-24;09:30;ALICANTE;RYANAIR;FR4163;0;;"RZE"
2025-04-24;10:55;LONDYN (Stansted);RYANAIR;FR2135;0;;"RZE"
2025-04-24;12:00;WARSZAWA;PLL LOT;LO3810;0;;"RZE"
2025-04-24;13:05;MONACHIUM;LUFTHANSA;LH1605;0;;"RZE"
2025-04-24;13:20;BRISTOL;RYANAIR;FR8225;0;;"RZE"
2025-04-24;14:30;ANTALIA;MGA;4M882;0;;"RZE"
2025-04-24;15:00;WARSZAWA;PLL LOT;LO3802;0;;"RZE"
2025-04-24;15:50;AL-MASSIRA;ENTER AIR;ENT1365;0;;"RZE"
2025-04-24;16:45;WARSZAWA;PLL LOT;LO3808;0;;"RZE"
2025-04-24;20:15;LONDYN (Luton);RYANAIR;FR3473;0;;"RZE"
2025-04-24;23:05;SHARM EL SHEIKH;SKYUP;U57551;0;;"RZE"
2025-04-25;05:45;WARSZAWA;PLL LOT;LO3804;0;;"RZE"
2025-04-25;06:00;MONACHIUM;LUFTHANSA;LH1607;0;;"RZE"
2025-04-25;08:50;WARSZAWA;PLL LOT;LO3806;0;;"RZE"
2025-04-25;09:10;RODOS;BUZZ;RR3061;0;;"RZE"
2025-04-25;09:30;ALICANTE;RYANAIR;FR4163;0;;"RZE"
2025-04-25;12:00;WARSZAWA;PLL LOT;LO3810;0;;"RZE"
2025-04-25;12:05;MEDIOLAN;RYANAIR;FR1102;0;;"RZE"
2025-04-25;13:05;MONACHIUM;LUFTHANSA;LH1605;0;;"RZE"
2025-04-25;13:20;BRISTOL;RYANAIR;FR8225;0;;"RZE"
2025-04-25;15:00;WARSZAWA;PLL LOT;LO3802;0;;"RZE"
2025-04-25;15:50;AL-MASSIRA;ENTER AIR;ENT1365;0;;"RZE"
2025-04-25;16:45;WARSZAWA;PLL LOT;LO3808;0;;"RZE"
2025-04-25;19:25;LONDYN (Stansted);RYANAIR;FR2135;0;;"RZE"
2025-04-25;19:25;RZYM;WIZZ AIR;W46068;0;;"RZE"
2025-04-25;22:50;HURGHADA;SKYUP;U58655;0;;"RZE"
2025-04-25;23:05;SHARM EL SHEIKH;SKYUP;U57553;0;;"RZE"
2025-04-26;05:45;WARSZAWA;PLL LOT;LO3804;0;;"RZE"
2025-04-26;06:10;MONACHIUM;LUFTHANSA;LH1607;0;;"RZE"
2025-04-26;08:00;MARSA ALAM INTL;SKYUP;U57837;0;;"RZE"
2025-04-26;08:05;MEDIOLAN;RYANAIR;FR1102;0;;"RZE"
2025-04-26;08:50;WARSZAWA;PLL LOT;LO3806;0;;"RZE"
2025-04-26;09:00;MALTA;RYANAIR;FR3864;0;;"RZE"
2025-04-26;10:20;DUBLIN;RYANAIR;FR863;0;;"RZE"
2025-04-26;11:05;ANTALIA;MGA;4M4611;0;;"RZE"
2025-04-26;12:00;WARSZAWA;PLL LOT;LO3810;0;;"RZE"
2025-04-26;13:00;MONACHIUM;LUFTHANSA;LH1605;0;;"RZE"
2025-04-26;13:40;MEDIOLAN;WIZZ AIR;W46354;0;;"RZE"
2025-04-26;15:00;WARSZAWA;PLL LOT;LO3802;0;;"RZE"
2025-04-26;16:45;WARSZAWA;PLL LOT;LO3808;0;;"RZE"
2025-04-26;17:00;ANTALIA;PEGASUS AIRLINES;PC6284;0;;"RZE"
2025-04-26;17:05;ANTALIA;BUZZ;RR7191;0;;"RZE"
2025-04-26;17:10;HERAKLION;BUZZ;RR3133;0;;"RZE"
2025-04-26;21:35;LONDYN (Stansted);RYANAIR;FR2135;0;;"RZE"
2025-04-26;22:40;ZADAR;RYANAIR;FR9399;0;;"RZE"
2025-04-26;23:05;SHARM EL SHEIKH;SKYUP;U57551;0;;"RZE"
2025-04-27;05:45;WARSZAWA;PLL LOT;LO3804;0;;"RZE"
2025-04-27;06:00;MONACHIUM;LUFTHANSA;LH1607;0;;"RZE"
2025-04-27;08:05;MEDIOLAN;RYANAIR;FR1102;0;;"RZE"
