Data;Czas;Kierunek;Przewoznik;Rejs;;Lotnisko wylotowe
2025-04-07;06:20;Mediolan bergamo;RYANAIR;FR 9094;;"GDN"
2025-04-07;06:20;Amsterdam;KLM;KL 1302;;"GDN"
2025-04-07;06:20;Londyn luton;WIZZ AIR;W6 1601;;"GDN"
2025-04-07;06:25;Frankfurt;LUFTHANSA;LH 1383;;"GDN"
2025-04-07;06:40;Stavanger;WIZZ AIR;W6 1747;;"GDN"
2025-04-07;07:15;Dortmund;WIZZ AIR;W6 1661;;"GDN"
2025-04-07;07:20;Paryż beauvais;RYANAIR;FR 8987;;"GDN"
2025-04-07;07:30;Sztokholm arlanda;RYANAIR;FR 4617;;"GDN"
2025-04-07;07:35;Manchester;RYANAIR;FR 4095;;"GDN"
2025-04-07;08:35;Kraków;RYANAIR;FR 236;;"GDN"
2025-04-07;08:45;Warszawa;LOT;LO3832;;"GDN"
2025-04-07;09:40;Edynburg;RYANAIR;FR 6123;;"GDN"
2025-04-07;10:00;Paryż beauvais;WIZZ AIR;W6 1631;;"GDN"
2025-04-07;10:15;Kopenhaga;SAS;SK 756;;"GDN"
2025-04-07;10:55;Zadar;RYANAIR;FR 8677;;"GDN"
2025-04-07;10:55;Hamburg;WIZZ AIR;W6 1675;;"GDN"
2025-04-07;11:00;Oslo torp;RYANAIR;FR 3277;;"GDN"
2025-04-07;11:15;Bergen;WIZZ AIR;W6 1745;;"GDN"
2025-04-07;11:30;Kopenhaga;RYANAIR;FR 6844;;"GDN"
2025-04-07;11:50;Amsterdam;KLM;KL 1304;;"GDN"
2025-04-07;11:55;Wrocław;RYANAIR;FR 4106;;"GDN"
2025-04-07;12:00;Helsinki;FINNAIR;AY 1176;;"GDN"
2025-04-07;12:00;Warszawa;LOT;LO3836;;"GDN"
2025-04-07;12:25;Kopenhaga;WIZZ AIR;W6 1741;;"GDN"
2025-04-07;12:30;Akureyri;;RC7467;;"GDN"
2025-04-07;12:45;Rzym ciampino;RYANAIR;FR 9922;;"GDN"
2025-04-07;16:55;Monachium;LUFTHANSA;LH 1645;;"GDN"
2025-04-07;18:00;Aberdeen;WIZZ AIR;W6 1617;;"GDN"
2025-04-07;18:05;Mediolan bergamo;RYANAIR;FR 3279;;"GDN"
2025-04-07;18:10;Larnaka;WIZZ AIR;W6 1791;;"GDN"
2025-04-07;18:20;Warszawa;LOT;LO3816;;"GDN"
2025-04-07;18:25;Amsterdam;KLM;KL 1308;;"GDN"
2025-04-07;18:35;Brindisi;RYANAIR;FR 3521;;"GDN"
2025-04-07;18:45;Londyn stansted;RYANAIR;FR 592;;"GDN"
2025-04-07;19:05;Rzym fiumicino;WIZZ AIR;W6 1699;;"GDN"
2025-04-07;19:15;Londyn luton;WIZZ AIR;W6 1607;;"GDN"
2025-04-07;19:25;Kopenhaga;SAS;SK 758;;"GDN"
2025-04-07;19:35;Goteborg;RYANAIR;FR 6095;;"GDN"
2025-04-07;19:45;Paryż beauvais;RYANAIR;FR 8943;;"GDN"
2025-04-07;20:20;Goteborg;WIZZ AIR;W6 1735;;"GDN"
2025-04-07;20:30;Helsinki;FINNAIR;AY 1174;;"GDN"
2025-04-07;21:35;Oslo gardermoen;Norwegian;DY 1055;;"GDN"
2025-04-07;22:50;Sztokholm arlanda;RYANAIR;FR 4679;;"GDN"
2025-04-08;05:40;Warszawa;LOT;LO3828;;"GDN"
2025-04-08;05:45;Leeds;WIZZ AIR;W6 1615;;"GDN"
2025-04-08;06:00;Monachium;LUFTHANSA;LH 1647;;"GDN"
2025-04-08;06:00;Kopenhaga;SAS;SK 1758;;"GDN"
2025-04-08;06:00;Reykjavik keflavik;WIZZ AIR;W6 1773;;"GDN"
2025-04-08;06:10;Dublin;RYANAIR;FR 1909;;"GDN"
2025-04-08;06:10;Sztokholm arlanda;WIZZ AIR;W6 1731;;"GDN"
2025-04-08;06:20;Amsterdam;KLM;KL 1302;;"GDN"
2025-04-08;06:20;Londyn luton;WIZZ AIR;W6 1601;;"GDN"
2025-04-08;06:25;Frankfurt;LUFTHANSA;LH 1383;;"GDN"
2025-04-08;06:35;Londyn stansted;RYANAIR;FR 544;;"GDN"
2025-04-08;06:40;Oslo torp;RYANAIR;FR 4942;;"GDN"
2025-04-08;06:40;Eindhoven;WIZZ AIR;W6 1641;;"GDN"
2025-04-08;06:55;Lublin;RYANAIR;FR 6111;;"GDN"
2025-04-08;07:00;Ryga;RYANAIR;FR 6370;;"GDN"
2025-04-08;07:10;Trondheim;WIZZ AIR;W6 1761;;"GDN"
2025-04-08;07:15;Dortmund;WIZZ AIR;W6 1661;;"GDN"
2025-04-08;07:40;Sztokholm arlanda;RYANAIR;FR 4617;;"GDN"
2025-04-08;08:45;Alicante;RYANAIR;FR 1425;;"GDN"
2025-04-08;08:45;Warszawa;LOT;LO3832;;"GDN"
2025-04-08;09:35;Rzym ciampino;RYANAIR;FR 9922;;"GDN"
2025-04-08;09:55;Bristol;RYANAIR;FR 8255;;"GDN"
2025-04-08;10:05;Haugesund;WIZZ AIR;W6 1749;;"GDN"
2025-04-08;10:15;Podgorica;RYANAIR;FR 1936;;"GDN"
2025-04-08;10:20;Kopenhaga;SAS;SK 756;;"GDN"
2025-04-08;10:35;Wrocław;RYANAIR;FR 4106;;"GDN"
2025-04-08;11:15;Bergen;WIZZ AIR;W6 1745;;"GDN"
2025-04-08;11:50;Amsterdam;KLM;KL 1304;;"GDN"
2025-04-08;12:00;Helsinki;FINNAIR;AY 1176;;"GDN"
2025-04-08;12:00;Warszawa;LOT;LO3836;;"GDN"
2025-04-08;12:10;Alesund vigra;WIZZ AIR;W6 1765;;"GDN"
2025-04-08;12:15;Sztokholm arlanda;RYANAIR;FR 4679;;"GDN"
2025-04-08;12:15;Edynburg;RYANAIR;FR 6123;;"GDN"
2025-04-08;12:50;Piza;RYANAIR;FR 4442;;"GDN"
2025-04-08;13:00;Teneryfa południe;WIZZ AIR;W6 1709;;"GDN"
2025-04-08;13:10;Monachium;LUFTHANSA;LH 1643;;"GDN"
2025-04-08;14:00;Akureyri;;FI 1065;;"GDN"
2025-04-08;14:20;Amsterdam;KLM;KL 1306;;"GDN"
2025-04-08;14:30;Newcastle;RYANAIR;FR 6103;;"GDN"
2025-04-08;14:30;Frankfurt;LUFTHANSA;LH 1379;;"GDN"
2025-04-08;14:40;Kopenhaga;RYANAIR;FR 6844;;"GDN"
2025-04-08;14:50;Oslo gardermoen;Norwegian;DY 1053;;"GDN"
2025-04-08;14:50;Warszawa;LOT;LO3838;;"GDN"
2025-04-08;15:00;Bratysława;RYANAIR;FR 6827;;"GDN"
2025-04-08;15:05;Oslo gardermoen;WIZZ AIR;W6 1783;;"GDN"
2025-04-08;15:40;Kopenhaga;SAS;SK 760;;"GDN"
2025-04-08;15:55;Växjö-smaland;RYANAIR;FR 7271;;"GDN"
2025-04-08;16:05;Korfu;RYANAIR;FR 7574;;"GDN"
2025-04-08;16:30;Turku;WIZZ AIR;W6 1751;;"GDN"
2025-04-08;17:00;Killeen-fort hood ;;CMB 530;;"GDN"
2025-04-08;17:05;Tromso;WIZZ AIR;W6 1771;;"GDN"
2025-04-08;17:15;Mediolan bergamo;RYANAIR;FR 3279;;"GDN"
2025-04-08;18:15;Amsterdam;KLM;KL 1308;;"GDN"
2025-04-08;18:20;Warszawa;LOT;LO3816;;"GDN"
2025-04-08;18:25;Paryż beauvais;RYANAIR;FR 8943;;"GDN"
2025-04-08;18:25;Barcelona el prat;WIZZ AIR;W6 1705;;"GDN"
2025-04-08;18:50;Londyn stansted;RYANAIR;FR 532;;"GDN"
2025-04-08;18:55;Alicante;WIZZ AIR;W6 1707;;"GDN"
2025-04-08;19:15;Malaga;RYANAIR;FR 9918;;"GDN"
2025-04-08;19:15;Londyn luton;WIZZ AIR;W6 1607;;"GDN"
2025-04-08;19:20;Mediolan malpensa;WIZZ AIR;W6 1713;;"GDN"
2025-04-08;19:25;Kopenhaga;SAS;SK 758;;"GDN"
2025-04-08;19:55;Oslo torp;RYANAIR;FR 3277;;"GDN"
2025-04-08;20:40;Stavanger;WIZZ AIR;W6 1747;;"GDN"
2025-04-08;21:25;Warszawa;LOT;LO3826;;"GDN"
2025-04-08;22:15;Kraków;RYANAIR;FR 236;;"GDN"
2025-04-08;22:15;Goteborg;RYANAIR;FR 6095;;"GDN"
2025-04-08;23:25;Manchester;;RK 4095;;"GDN"
2025-04-08;23:35;Sztokholm arlanda;RYANAIR;FR 6099;;"GDN"
2025-04-09;05:40;Warszawa;LOT;LO3828;;"GDN"
2025-04-09;05:45;Barcelona el prat;RYANAIR;FR 334;;"GDN"
2025-04-09;05:45;Londyn stansted;RYANAIR;FR 544;;"GDN"
