Czas;Kierunek;Rejs;;Lotnisko wylotowe
19:40;ZURYCH (ZRH);LX 1375;;"KRK"
19:45;BARI (BRI);FR 2966;;"KRK"
19:55;BOURNEMOUTH (BOH);FR 5524;;"KRK"
20:15;SZTOKHOLM ARLANDA (ARN);FR 4627;;"KRK"
20:25;MEMMINGEN (FMM);FR 2174;;"KRK"
20:35;SALONIKI (SKG);FR 2777;;"KRK"
20:35;PIZA (PSA);FR 7932;;"KRK"
20:40;LONDYN LUTON (LTN);FR 1812;;"KRK"
20:50;MEDIOLAN BERGAMO (BGY);FR 889;;"KRK"
21:05;TRIEST (TRS);FR 6782;;"KRK"
21:20;BAZYLEA (BSL);EZS 1262;;"KRK"
21:30;BRISTOL (BRS);EZY 2938;;"KRK"
21:50;SHANNON (SNN);FR 3326;;"KRK"
22:05;TEL AVIV (TLV);LY 5120;;"KRK"
22:10;MANCHESTER (MAN);FR 2149;;"KRK"
22:45;DUBLIN (DUB);FR 1902;;"KRK"
23:10;MEDIOLAN MALPENSA (MXP);FR 4462;;"KRK"
23:50;DUBAJ (DXB);FZ 1786;;"KRK"
23:55;GDAŃSK (GDN);FR 237;;"KRK"
